"Trait"	"Predictor"	"Coef"	"St.error"	"t.value"	"P.value"	"Class"
"nodule_number_per_plant"	"namehcl"	-123.866666666667	81.7783399736232	-1.51466350022046	0.136554388204605	"None"
"nodule_number_per_plant"	"nameipd3"	-108.340898494769	87.1466425546937	-1.24320220858507	0.219959336789251	"None"
"nodule_number_per_plant"	"namelatd"	-227.043550769142	144.947667825	-1.56638291720056	0.123967879175872	"None"
"nodule_number_per_plant"	"namenad1"	-12.529299109225	87.1812483961304	-0.143715527590233	0.886339544449024	"None"
"nodule_number_per_plant"	"namednf1"	4.16339263400787	87.1043545587601	0.0477977554061235	0.962079958430453	"None"
"nodule_number_per_plant"	"namednf2"	116.966666666667	81.7783399736232	1.43028908026738	0.15924887885688	"None"
"nodule_number_per_plant"	"namednf3"	159.666666666666	81.7783399736231	1.95243222983207	0.0568575686260992	"None"
"nodule_number_per_plant"	"namednf4"	310.262550458524	110.011911593542	2.82026324208276	0.00700548142619001	"Up"
"nodule_number_per_plant"	"namednf6"	272.866666666667	81.7783399736231	3.33666184413473	0.00166364930881637	"Up"
"nodule_number_per_plant"	"namednf7"	-28.7	81.7783399736231	-0.350948674297583	0.727195124410929	"None"
"nodule_number_per_plant"	"namednf1/dnf2"	98.5957008907748	87.1812483961303	1.13092783946818	0.26382341385096	"None"
"nodule_number_per_plant"	"namednf5/dnf2"	98.5666666666665	81.7783399736231	1.20529062705917	0.234124621236769	"None"
"nodule_number_per_plant"	"namerdn1"	580.228625416897	95.4349654469882	6.07983271853543	2.0377956617478e-07	"Up"
"nodule_number_per_plant"	"namesunn1"	187.266666666667	81.7783399736232	2.28992990964438	0.0265597369350582	"Up"
"nodule_number_per_plant"	"namesunn4"	246.866666666667	81.7783399736232	3.01872924721009	0.00409256229872031	"Up"
"average_area_per_nodule"	"namehcl"	0.00842540268472467	0.00205913919638951	4.09171108951632	0.000201520688864322	"Up"
"average_area_per_nodule"	"nameipd3"	-0.00387324067609633	0.00219461667213254	-1.76488255342226	0.0852180713714908	"None"
"average_area_per_nodule"	"namelatd"	-0.00228341532912026	0.00366798950789097	-0.622525043817038	0.537129646100355	"None"
"average_area_per_nodule"	"namenad1"	-0.00314376091926627	0.00240598271291222	-1.30664318675051	0.19879691402964	"None"
"average_area_per_nodule"	"namednf1"	0.000875788863612252	0.0024049634551444	0.364158907171281	0.717657338032847	"None"
"average_area_per_nodule"	"namednf2"	-0.00333079309453098	0.00205913919638951	-1.61756577718067	0.113616226917657	"None"
"average_area_per_nodule"	"namednf3"	-0.00177681070307068	0.00219461667213254	-0.809622348008562	0.422947503827385	"None"
"average_area_per_nodule"	"namednf4"	-0.000256081705261391	0.00367561148169811	-0.069670504223989	0.944803064912654	"None"
"average_area_per_nodule"	"namednf6"	-0.00151983354305663	0.00205913919638951	-0.738091696628138	0.464767238238644	"None"
"average_area_per_nodule"	"namednf7"	-0.00360315732286572	0.00205913919638951	-1.74983669349964	0.0878153074336394	"None"
"average_area_per_nodule"	"namednf1/dnf2"	-0.00349321023796574	0.0021965104927762	-1.59034534524378	0.119630560969642	"None"
"average_area_per_nodule"	"namednf5/dnf2"	-0.00336964445198008	0.00205913919638951	-1.63643354363241	0.109594190599079	"None"
"average_area_per_nodule"	"namerdn1"	-2.99199886207707e-05	0.00367561148169811	-0.00814013906794845	0.993545644058638	"None"
"average_area_per_nodule"	"namesunn1"	0.00360259892179871	0.00205913919638951	1.7495655117029	0.087862720520148	"None"
"average_area_per_nodule"	"namesunn4"	0.00233646708232388	0.0021965104927762	1.06371769677767	0.29383622245714	"None"
"total_nodulated_area_per_plant"	"namehcl"	0.00406666666666709	0.234013535559543	0.0173779121662489	0.986219423286477	"None"
"total_nodulated_area_per_plant"	"nameipd3"	-0.887263977882048	0.249398426057917	-3.5576165892723	0.000961807773397405	"Down"
"total_nodulated_area_per_plant"	"namelatd"	-0.849140153815957	0.416758586250681	-2.03748688528567	0.0480900523498759	"Down"
"total_nodulated_area_per_plant"	"namenad1"	-0.728674287219536	0.249625270647852	-2.91907259761165	0.00567894077864982	"Down"
"total_nodulated_area_per_plant"	"namednf1"	0.379922139581009	0.27323844640497	1.39044173534028	0.171896882891759	"None"
"total_nodulated_area_per_plant"	"namednf2"	-0.533033333333333	0.234013535559543	-2.27778847090539	0.0280216972750647	"Down"
"total_nodulated_area_per_plant"	"namednf3"	0.110746660415826	0.249398426057917	0.444055169739152	0.659337649090594	"None"
"total_nodulated_area_per_plant"	"namednf4"	0.316595957295153	0.416758586250682	0.759662710595528	0.451802266855358	"None"
"total_nodulated_area_per_plant"	"namednf6"	0.479766666666668	0.234013535559543	2.05016630990815	0.0467792113516054	"Up"
"total_nodulated_area_per_plant"	"namednf7"	-0.792933333333333	0.234013535559543	-3.38840798861217	0.00156358286016324	"Down"
"total_nodulated_area_per_plant"	"namednf1/dnf2"	-0.757799287219537	0.249625270647852	-3.03574748362945	0.00415686035226823	"Down"
"total_nodulated_area_per_plant"	"namednf5/dnf2"	-0.704333333333333	0.234013535559543	-3.00979741043279	0.00445789071736326	"Down"
"total_nodulated_area_per_plant"	"namerdn1"	2.62459595729515	0.416758586250681	6.29764099381135	1.63190160989326e-07	"Up"
"total_nodulated_area_per_plant"	"namesunn1"	1.37686666666667	0.234013535559542	5.88370524540165	6.33215692030007e-07	"Up"
"total_nodulated_area_per_plant"	"namesunn4"	1.95557571278046	0.249625270647852	7.83404543820888	1.12414370083933e-09	"Up"
