sample_id	genotype_id	rep	date_nod_picked		batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity
850B	850	B	5/7/21						0	0	0	0	0	0
850C	850	C	5/7/21						0	0	0	0	0	0
850D	850	D	5/7/21						0	0	0	0	0	0
850E	850	E	5/7/21						0	0	0	0	0	0
850F	850	F	5/7/21						0	0	0	0	0	0
851A	851	A	5/6/21	Y	1			851_A_img002_cropped.tif	426	0.246	5.77E-04	0.828	0.899	0.915
851B	851	B	5/7/21	y	2			851_B_0016_cropped.tif	606	0.397	6.55E-04	0.53	0.908	0.921
851C	851	C	5/8/21	y	3			851_C_0024_cropped.tif	444	0.323	7.27E-04	0.989	0.924	0.929
851D	851	D	5/13/21	Y	7			851_D_0131_cropped.tif	491	1.297	0.003	2.181	0.89	0.947
851E	851	E	5/14/21	Y	11			851_E_0151_cropped.tif	246	0.581	0.002	0.698	0.868	0.94
852A	852	A	5/6/21	y	1		2395	852_A_0012_cropped.tif	909	0.837	9.21E-04	1.44	0.882	0.923
852B	852	B	5/7/21	y	2		3946	852_B_0018_cropped.tif	225	0.107	4.75E-04	0.143	0.924	0.917
852C	852	C	5/8/21	y	3		1370	852_C_0026_cropped.tif	411	0.177	4.30E-04	0.236	0.914	0.912
852D	852	D	5/14/21	Y	10			852_D_0143_cropped.tif	239	0.295	0.001	0.312	0.868	0.917
852E	852	E	5/14/21						NA	NA	NA	NA	NA	NA
854A	854	A	5/10/21	y	4			854_A_0036_cropped.tif	217	4.163	0.019	8.957	0.725	0.885
854B	854	B	5/11/21	y	6			854_B_0071_cropped.tif	322	1.835	0.006	1.668	0.701	0.933
854C	854	C	5/12/21	y	8			854_C_0107_cropped.tif	204	2.205	0.011	6.419	0.645	0.839
854D	854	D	5/13/21	Y	7			854_D_0136_cropped.tif	100	4.476	0.045	4.775	0.646	0.883
854E	854	E	5/14/21	Y	11			854_E_0154_cropped.tif	105	2.486	0.024	6.31	0.736	0.916
855A	855	A	5/10/21	y	4			855_A_0041_cropped.tif	227	2.166	0.01	2.593	0.61	0.837
855B	855	B	5/11/21	y	6			855_B_0072_cropped.tif	161	5.166	0.032	4.694	0.716	0.928
855C	855	C	5/12/21	Y	8			855_C_0113_cropped.tif	171	3.394	0.02	9.082	0.709	0.919
855D	855	D	5/13/21	Y	7			855_D_0132_cropped.tif	225	5.998	0.027	8.508	0.684	0.917
855E	855	E	5/14/21	Y	11			855_E_0168_cropped.tif	183	6.597	0.036	7.926	0.654	0.909
856A	856	A	5/10/21	Y	5			856_A_img031_cropped.tif	185	2.989	0.016	3.578	0.73	0.933
856B	856	B	5/11/21	y	6			856_B_img0070_cropped.tif	276	3.817	0.014	3.468	0.627	0.879
856C	856	C	5/12/21	y	8			856_C_0105_cropped.tif	191	1.551	0.008	3.349	0.597	0.844
856D	856	D	5/13/21	Y	9	1	208	856_D_0139_cropped.tif	208	4.086	0.02	4.359	0.653	0.913
856E	856	E	5/14/21	Y	11			856_E_0161_cropped.tif	264	4.442	0.017	8.115	0.663	0.909
