"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"858B"	858	"npd1/2/3/4/5"	"Late"	"B"	"R108"	"5/11/21"	3	2	"F"	2.072	0.981	NA	3	NA	NA	9.5e+07	0.690666666666667	0.327	0.473455598455598	1.01766666666667	NA	7.50060235056919	NA	NA	NA
"858C"	858	"npd1/2/3/4/5"	"Late"	"C"	"R108"	"5/12/21"	3	10	"F"	1.574	0.788	307	3	3.739	0.012	72500000	0.524666666666667	0.262666666666667	0.500635324015248	0.787333333333333	102.333333333333	7.38321675185133	5.37319963109381	1.24633333333333	0.0121791530944625
"858D"	858	"npd1/2/3/4/5"	"Late"	"D"	"R108"	"5/13/21"	3	8	"F"	2.226	0.847	566	3	4.377	0.008	79200000	0.742	0.282333333333333	0.380503144654088	1.02433333333333	188.666666666667	7.42160392686983	5.14590875040122	1.459	0.00773321554770318
"858E"	858	"npd1/2/3/4/5"	"Late"	"E"	"R108"	"5/14/21"	2	5	"F"	2.491	1.001	354	3	5.41	0.015	1.61e+08	1.2455	0.5005	0.401846647932557	1.746	118	7.72970462131219	5.65782261400606	1.80333333333333	0.0152824858757062
"859A"	859	"npd2"	"Late"	"A"	"R108"	"5/10/21"	3	1	"F"	1.738	1.04	97	3	3.434	0.035	9.6e+07	0.579333333333333	0.346666666666667	0.598388952819333	0.926	32.3333333333333	7.50514997831991	5.99549949877332	1.14466666666667	0.0354020618556701
"859B"	859	"npd2"	"Late"	"B"	"R108"	"5/11/21"	3	1	"F"	2.269	1.16	298	3	3.458	0.012	44900000	0.756333333333333	0.386666666666667	0.511238431026884	1.143	99.3333333333333	7.17512508628366	5.17803007692707	1.15266666666667	0.0116040268456376
"859C"	859	"npd2"	"Late"	"C"	"R108"	"5/12/21"	2	20	"F"	1.668	0.821	431	3	1.93	0.004	1.45e+08	0.834	0.4105	0.49220623501199	1.2445	143.666666666667	7.68424674751531	5.52689073207424	0.643333333333333	0.00447795823665893
"859D"	859	"npd2"	"Late"	"D"	"R108"	"5/13/21"	3	2	"F"	2.646	0.887	156	3	5.761	0.037	85900000	0.882	0.295666666666667	0.335222978080121	1.17766666666667	52	7.45687190911158	5.74086856547678	1.92033333333333	0.0369294871794872
"859E"	859	"npd2"	"Late"	"E"	"R108"	"5/14/21"	3	1	"F"	2.864	1.023	124	3	3.79	0.031	1.69e+08	0.954666666666667	0.341	0.357192737430168	1.29566666666667	41.3333333333333	7.75076544989401	6.13446501945144	1.26333333333333	0.0305645161290323
"860A"	860	"A17"	"WT"	"A"	"A17"	"5/10/21"	3	5	"F"	1.542	0.632	335	3	1.264	0.004	2.06e+08	0.514	0.210666666666667	0.409857328145266	0.724666666666667	111.666666666667	7.83674596564949	5.78882241333231	0.421333333333333	0.00377313432835821
"860B"	860	"A17"	"WT"	"B"	"A17"	"5/11/21"	3	4	"F"	1.827	0.723	330	3	1.663	0.005	1.45e+08	0.609	0.241	0.395730706075534	0.85	110	7.68424674751531	5.64285406235709	0.554333333333333	0.00503939393939394
"860C"	860	"A17"	"WT"	"C"	"A17"	"5/12/21"	3	15	"F"	2.292	1.295	355	1	1.665	0.005	1.56e+08	0.764	0.431666666666667	0.56500872600349	1.19566666666667	355	8.19312459835446	5.64289624529937	1.665	0.00469014084507042
"860D"	860	"A17"	"WT"	"D"	"A17"	"5/13/21"	3	5	"F"	2.7	0.966	355	1	1.269	0.004	2.28e+08	0.9	0.322	0.357777777777778	1.222	355	8.35793484700045	5.80770649394536	1.269	0.00357464788732394
"860E"	860	"A17"	"WT"	"E"	"A17"	"5/14/21"	2	7	"F"	2.88	1.277	414	2	2.788	0.007	5.73e+08	1.44	0.6385	0.443402777777778	2.0785	207	8.45712462630341	6.14115428084649	1.394	0.00673429951690821
"869A"	869	"R108"	"WT"	"A"	"R108"	"5/10/21"	3	1	"F"	2.332	0.827	156	3	3.694	0.024	7.8e+07	0.777333333333333	0.275666666666667	0.354631217838765	1.053	52	7.41497334797082	5.69897000433602	1.23133333333333	0.0236794871794872
"869B"	869	"R108"	"WT"	"B"	"R108"	"5/11/21"	3	1	"F"	2.936	1.415	150	3	4.307	0.029	1.27e+08	0.978666666666667	0.471666666666667	0.481948228882834	1.45033333333333	50	7.62668246623629	5.92771246190028	1.43566666666667	0.0287133333333333
"869C"	869	"R108"	"WT"	"C"	"R108"	"5/12/21"	3	5	"F"	2.823	1.189	103	3	4.115	0.04	1.19e+08	0.941	0.396333333333333	0.421183138505136	1.33733333333333	34.3333333333333	7.59842570667287	6.06270973668736	1.37166666666667	0.0399514563106796
"869D"	869	"R108"	"WT"	"D"	"R108"	"5/13/21"	3	2	"F"	3.161	1.109	199	3	3.127	0.016	83300000	1.05366666666667	0.369666666666667	0.350838342296741	1.42333333333333	66.3333333333333	7.44352374668713	5.62179192499708	1.04233333333333	0.015713567839196
"869E"	869	"R108"	"WT"	"E"	"R108"	"5/14/21"	3	1	"F"	3.377	1.086	181	3	3.321	0.018	1e+08	1.12566666666667	0.362	0.321587207580693	1.48766666666667	60.3333333333333	7.52287874528034	5.74232142513082	1.107	0.0183480662983425
"883A"	883	"npd1"	"Late"	"A"	"R108"	"5/10/21"	2	1	"F"	1.817	0.821	178	3	3.634	0.02	39700000	0.9085	0.4105	0.451843698403963	1.319	59.3333333333333	7.12166925204345	5.34837050445422	1.21133333333333	0.0204157303370787
"883B"	883	"npd1"	"Late"	"B"	"R108"	"5/11/21"	2	10	"F"	1.799	0.8	256	2	2.312	0.009	3.3e+07	0.8995	0.4	0.444691495275153	1.2995	128	7.21748394421391	5.11027397456604	1.156	0.00903125
"883C"	883	"npd1"	"Late"	"C"	"R108"	"5/12/21"	2	5	"F"	1.702	0.947	196	2	4.079	0.021	1.15e+08	0.851	0.4735	0.556404230317274	1.3245	98	7.75966784468963	5.76844176899714	2.0395	0.0208112244897959
"883D"	883	"npd1"	"Late"	"D"	"R108"	"5/13/21"	3	1	"F"	2.667	1.346	191	3	3.762	0.02	71700000	0.889	0.448666666666667	0.504686914135733	1.33766666666667	63.6666666666667	7.37839790094814	5.57448578842007	1.254	0.019696335078534
"883E"	883	"npd1"	"Late"	"E"	"R108"	"5/14/21"	2	15	"F"	1.037	0.464	146	3	2.833	0.019	1.02e+08	0.5185	0.232	0.447444551591128	0.7505	48.6666666666667	7.53147891704226	5.84424731597748	0.944333333333333	0.0194041095890411
"884A"	884	"w1-1"	"KO/OX"	"A"	"R108"	"5/10/21"	3	2	"N"	2.3	0.89	224	3	1.341	0.006	NA	0.766666666666667	0.296666666666667	0.38695652173913	1.06333333333333	74.6666666666667	NA	NA	0.447	0.00598660714285714
"884B"	884	"w1-1"	"KO/OX"	"B"	"R108"	"5/11/21"	3	1	"F"	2.146	1.294	199	3	1.738	0.009	44700000	0.715333333333333	0.431333333333333	0.602982292637465	1.14666666666667	66.3333333333333	7.17318626841227	5.35145444672223	0.579333333333333	0.00873366834170854
"884C"	884	"w1-1"	"KO/OX"	"C"	"R108"	"5/12/21"	3	1	"F"	2.572	1.357	169	3	3.278	0.019	7.4e+07	0.857333333333333	0.452333333333333	0.527604976671851	1.30966666666667	56.3333333333333	7.39211046501131	5.6413450151173	1.09266666666667	0.019396449704142
"884D"	884	"w1-1"	"KO/OX"	"D"	"R108"	"5/13/21"	3	1	"F"	2.864	1.139	97	3	3.439	0.035	1.64e+08	0.954666666666667	0.379666666666667	0.397695530726257	1.33433333333333	32.3333333333333	7.73772259332804	6.22807211378145	1.14633333333333	0.0354536082474227
"884E"	884	"w1-1"	"KO/OX"	"E"	"R108"	"5/14/21"	3	3	"F"	3.102	1.149	276	3	2.792	0.01	2.25e+08	1.034	0.383	0.370406189555126	1.417	92	7.8750612633917	5.91127343604614	0.930666666666667	0.0101159420289855
"885A"	885	"l1-1"	"KO/OX"	"A"	"R108"	"5/10/21"	3	1	"F"	2.066	1.29	366	3	1.32	0.004	56900000	0.688666666666667	0.43	0.624394966118103	1.11866666666667	122	7.27799101167541	5.19163118100066	0.44	0.00360655737704918
"885B"	885	"l1-1"	"KO/OX"	"B"	"R108"	"5/11/21"	3	2	"F"	2.792	1.251	85	3	2.349	0.028	43600000	0.930666666666667	0.417	0.448065902578797	1.34766666666667	28.3333333333333	7.16236523454892	5.71006756355429	0.783	0.0276352941176471
"885C"	885	"l1-1"	"KO/OX"	"C"	"R108"	"5/12/21"	3	5	"F"	2.817	1.641	224	3	2.599	0.012	6.5e+08	0.939	0.547	0.582534611288605	1.486	74.6666666666667	8.33579210192319	6.46266533830869	0.866333333333333	0.0116026785714286
"885D"	885	"l1-1"	"KO/OX"	"D"	"R108"	"5/13/21"	2	2	"F"	1.646	0.677	129	2	2.259	0.018	NA	0.823	0.3385	0.411300121506683	1.1615	64.5	NA	NA	1.1295	0.0175116279069767
"885E"	885	"l1-1"	"KO/OX"	"E"	"R108"	"5/14/21"	2	3	"F"	2.502	0.956	72	2	2.833	0.039	2.06e+08	1.251	0.478	0.382094324540368	1.729	36	8.01283722470517	6.45653472393789	1.4165	0.0393472222222222
"886A"	886	"w1-4"	"KO/OX"	"A"	"R108"	"5/10/21"	3	1	"F"	1.878	1.151	134	2	2.309	0.017	4.1e+07	0.626	0.383666666666667	0.612886048988285	1.00966666666667	67	7.31175386105575	5.48567905835493	1.1545	0.0172313432835821
"886B"	886	"w1-4"	"KO/OX"	"B"	"R108"	"5/11/21"	3	2	"N"	1.929	0.909	91	2	1.839	0.02	31400000	0.643	0.303	0.471228615863142	0.946	45.5	7.19589965240923	5.53788825575212	0.9195	0.0202087912087912
"886C"	886	"w1-4"	"KO/OX"	"C"	"R108"	"5/12/21"	3	1	"F"	1.822	0.774	201	2	2.897	0.014	5.3e+07	0.607333333333333	0.258	0.424807903402854	0.865333333333333	100.5	7.42324587393681	5.4210798121803	1.4485	0.0144129353233831
"886D"	886	"w1-4"	"KO/OX"	"D"	"R108"	"5/13/21"	2	2	"F"	1.808	0.939	75	2	1.263	0.017	59400000	0.904	0.4695	0.519358407079646	1.3735	37.5	7.47275644931721	5.89872518158949	0.6315	0.01684
"886E"	886	"w1-4"	"KO/OX"	"E"	"R108"	"5/14/21"	3	1	"F"	3.053	1.462	182	3	3.711	0.02	1.76e+08	1.01766666666667	0.487333333333333	0.47887323943662	1.505	60.6666666666667	7.76839141309449	5.98544127982908	1.237	0.0203901098901099
"887A"	887	"l1-4"	"KO/OX"	"A"	"R108"	"5/10/21"	2	1	"F"	1.961	0.844	83	2	2.2	0.027	27700000	0.9805	0.422	0.430392656807751	1.4025	41.5	7.14144977340047	5.52340167668837	1.1	0.0265060240963855
"887B"	887	"l1-4"	"KO/OX"	"B"	"R108"	"5/11/21"	3	8	"F"	1.485	0.718	143	3	3.685	0.026	35200000	0.495	0.239333333333333	0.483501683501683	0.734333333333333	47.6666666666667	7.06942140875847	5.39120662601307	1.22833333333333	0.0257692307692308
"887C"	887	"l1-4"	"KO/OX"	"C"	"R108"	"5/12/21"	2	5	"F"	2.06	0.792	105	2	2.696	0.026	NA	1.03	0.396	0.384466019417476	1.426	52.5	NA	NA	1.348	0.0256761904761905
"887D"	887	"l1-4"	"KO/OX"	"D"	"R108"	"5/13/21"	3	2	"F"	2.812	0.836	182	2	3.596	0.02	88600000	0.937333333333333	0.278666666666667	0.297297297297297	1.216	91	7.64640372622307	5.68736233390198	1.798	0.0197582417582418
"887E"	887	"l1-4"	"KO/OX"	"E"	"R108"	"5/14/21"	2	5	"F"	2.693	1.205	78	2	3.721	0.048	1.04e+08	1.3465	0.6025	0.447456368362421	1.949	39	7.7160033436348	6.1249387366083	1.8605	0.0477051282051282
"891A"	891	"NFS1+"	"NFS"	"A"	"NFS"	"5/10/21"	3	5	"N"	1.189	0.365	274	3	1.673	0.006	2.3e+08	0.396333333333333	0.121666666666667	0.306980656013457	0.518	91.3333333333333	7.88460658129793	5.92397727319721	0.557666666666667	0.00610583941605839
"891B"	891	"NFS1+"	"NFS"	"B"	"NFS"	"5/11/21"	3	5	"N"	1.917	0.523	300	3	1.628	0.005	3.38e+08	0.639	0.174333333333333	0.27282211789254	0.813333333333333	100	8.05179544555799	6.05179544555799	0.542666666666667	0.00542666666666667
"891C"	891	"NFS1+"	"NFS"	"C"	"NFS"	"5/12/21"	3	10	"N"	1.74	0.96	291	2	1.781	0.006	2.7e+08	0.58	0.32	0.551724137931035	0.9	145.5	8.13033376849501	5.96747077517308	0.8905	0.00612027491408935
"891D"	891	"NFS1+"	"NFS"	"D"	"NFS"	"5/13/21"	3	8	"N"	1.983	0.743	292	3	2.572	0.009	3.78e+08	0.661	0.247666666666667	0.374684820978316	0.908666666666667	97.3333333333333	8.10037054511756	6.11210894838881	0.857333333333333	0.00880821917808219
"891E"	891	"NFS1+"	"NFS"	"E"	"NFS"	"5/14/21"	3	3	"N"	2.75	1.055	341	3	2.855	0.008	4.34e+08	0.916666666666667	0.351666666666667	0.383636363636364	1.26833333333333	113.666666666667	8.16036847479285	6.10473535052001	0.951666666666667	0.00837243401759531
"892A"	892	"NFS1- "	"NFS"	"A"	"NFS"	"5/10/21"	3	5	"N"	1.114	0.724	251	3	1.557	0.006	2.33e+08	0.371333333333333	0.241333333333333	0.649910233393178	0.612666666666667	83.6666666666667	7.89023466630636	5.96768219954498	0.519	0.00620318725099602
"892B"	892	"NFS1- "	"NFS"	"B"	"NFS"	"5/11/21"	3	4	"N"	1.866	0.779	309	3	2.026	0.007	2.96e+08	0.622	0.259666666666667	0.417470525187567	0.881666666666667	103	7.99417045633928	5.9813332316341	0.675333333333333	0.00655663430420712
"892C"	892	"NFS1- "	"NFS"	"C"	"NFS"	"5/12/21"	3	10	"N"	1.272	0.444	198	3	1.461	0.007	2.17e+08	0.424	0.148	0.349056603773585	0.572	66	7.85933847912887	6.039794543587	0.487	0.00737878787878788
"892D"	892	"NFS1- "	"NFS"	"D"	"NFS"	"5/13/21"	3	2	"N"	2.045	0.671	313	3	3.477	0.011	3.72e+08	0.681666666666667	0.223666666666667	0.328117359413203	0.905333333333333	104.333333333333	8.09342168516224	6.07499860233545	1.159	0.0111086261980831
"892E"	892	"NFS1- "	"NFS"	"E"	"NFS"	"5/14/21"	3	2	"N"	2.347	0.767	409	3	2.729	0.007	5.21e+08	0.782333333333333	0.255666666666667	0.326800170430337	1.038	136.333333333333	8.23971646857986	6.10511441529218	0.909666666666667	0.00667237163814181
"893A"	893	"NFS2+"	"NFS"	"A"	"NFS"	"5/10/21"	2	10	"N"	1.294	0.887	220	2	1.528	0.007	1.62e+08	0.647	0.4435	0.685471406491499	1.0905	110	7.90848501887865	5.86709233372043	0.764	0.00694545454545455
"893B"	893	"NFS2+"	"NFS"	"B"	"NFS"	"5/11/21"	2	5	"N"	1.531	0.789	363	2	1.658	0.005	9e+07	0.7655	0.3945	0.515349444807315	1.16	181.5	7.65321251377534	5.39433588440321	0.829	0.00456749311294766
"893C"	893	"NFS2+"	"NFS"	"C"	"NFS"	"5/12/21"	3	1	"N"	2.382	1.298	463	3	3.13	0.007	3.09e+08	0.794	0.432666666666667	0.544920235096558	1.22666666666667	154.333333333333	8.01283722470517	5.82437748840688	1.04333333333333	0.00676025917926566
"893D"	893	"NFS2+"	"NFS"	"D"	"NFS"	"5/13/21"	2	1	"N"	1.726	0.538	228	2	2.827	0.012	3.21e+08	0.863	0.269	0.3117033603708	1.132	114	8.20547503674089	6.14857018540442	1.4135	0.0123991228070175
"893E"	893	"NFS2+"	"NFS"	"E"	"NFS"	"5/14/21"	3	1	"N"	2.688	0.672	301	3	1.828	0.006	3.11e+08	0.896	0.224	0.25	1.12	100.333333333333	8.01563913430718	6.01419389343299	0.609333333333333	0.00607308970099668
"894A"	894	"NFS2-"	"NFS"	"A"	"NFS"	"5/10/21"	3	10	"N"	1.509	0.796	367	3	1.465	0.004	1.95e+08	0.503	0.265333333333333	0.527501656726309	0.768333333333333	122.333333333333	7.81291335664286	5.72536854711043	0.488333333333333	0.00399182561307902
"894B"	894	"NFS2-"	"NFS"	"B"	"NFS"	"5/11/21"	3	5	"N"	1.97	0.706	378	3	1.791	0.005	2.5e+08	0.656666666666667	0.235333333333333	0.358375634517766	0.892	126	7.92081875395237	5.82044820883481	0.597	0.00473809523809524
"894C"	894	"NFS2-"	"NFS"	"C"	"NFS"	"5/12/21"	3	5	"N"	1.559	0.787	342	3	2.155	0.006	2.51e+08	0.519666666666667	0.262333333333333	0.50481077613855	0.782	114	7.92255246676138	5.8656476154249	0.718333333333333	0.00630116959064327
"894D"	894	"NFS2-"	"NFS"	"D"	"NFS"	"5/13/21"	3	1	"N"	1.782	0.483	371	3	2.581	0.007	4.21e+08	0.594	0.161	0.271043771043771	0.755	123.666666666667	8.14716084111601	6.05490818622062	0.860333333333333	0.00695687331536388
"894E"	894	"NFS2-"	"NFS"	"E"	"NFS"	"5/14/21"	3	1	"N"	2.587	0.895	505	3	3.914	0.008	5.44e+08	0.862333333333333	0.298333333333333	0.345960572091225	1.16066666666667	168.333333333333	8.25847764497852	6.03230752157952	1.30466666666667	0.00775049504950495
"894F"	894	"NFS2-"	"NFS"	"F"	"NFS"	"5/14/21"	3	1	"N"	2.685	0.785	358	3	3.196	0.009	5.29e+08	0.895	0.261666666666667	0.292364990689013	1.15666666666667	119.333333333333	8.24633441731552	6.16957264539131	1.06533333333333	0.00892737430167598
