"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"840B"	840	"dnf7"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.294	0.224	384	2	0.183	0.000476	3.05e+08	0.098	0.0746666666666667	0.761904761904762	0.172666666666667	192	8.1832698436828	5.89996861497926	0.0915	0.0004765625
"840C"	840	"dnf7"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.31	0.378	477	2	0.332	0.000696	2.68e+08	0.103333333333333	0.126	1.21935483870968	0.229333333333333	238.5	8.12710479836481	5.74961641498868	0.166	0.00069601677148847
"840D"	840	"dnf7"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.173	0.206	307	1	0.834	0.003	2.44e+08	0.0576666666666667	0.0686666666666667	1.19075144508671	0.126333333333333	307	8.38738982633873	5.90025145086154	0.834	0.00271661237785016
"840E"	840	"dnf7"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.319	0.328	266	2	0.313	0.001	2.99e+08	0.1595	0.164	1.0282131661442	0.3235	133	8.17464119266045	6.05078955169336	0.1565	0.00117669172932331
"841A"	841	"sunn1"	"AON"	"A"	"A17"	"5/10/21"	3	15	"F"	1.954	0.767	191	1	1.035	0.005	4.18e+08	0.651333333333333	0.255666666666667	0.392528147389969	0.907	191	8.62117628177504	6.34014291452731	1.035	0.00541884816753927
"841B"	841	"sunn1"	"AON"	"B"	"A17"	"5/11/21"	2	5	"F"	1.645	0.535	613	1	1.882	0.003	1.85e+08	0.8225	0.2675	0.325227963525836	1.09	613	8.26717172840301	5.4797112538846	1.882	0.00307014681892333
"841C"	841	"sunn1"	"AON"	"C"	"A17"	"5/12/21"	2	15	"F"	2.089	0.941	524	1	2.593	0.005	NA	1.0445	0.4705	0.450454763044519	1.515	524	NA	NA	2.593	0.00494847328244275
"841D"	841	"sunn1"	"AON"	"D"	"A17"	"5/13/21"	1	10	"F"	1.198	0.39	600	1	3.318	0.006	3.24e+08	1.198	0.39	0.325542570951586	1.588	600	8.51054501020661	5.73239375982297	3.318	0.00553
"841E"	841	"sunn1"	"AON"	"E"	"A17"	"5/14/21"	2	5	"F"	2.348	0.564	147	1	3.36	0.023	6.31e+08	1.174	0.282	0.240204429301533	1.456	147	8.80002935924413	6.63271202449596	3.36	0.0228571428571429
"842A"	842	"sunn4"	"AON"	"A"	"A17"	"5/10/21"	2	1	"F"	0.456	0.04	640	2	5.833	0.009	7.2e+08	0.228	0.02	0.087719298245614	0.248	320	8.55630250076729	6.05115252244738	2.9165	0.0091140625
