	MAG5	MAG10	MAG16	MAG18	MAG21	MAG24	MAG27	MAG31	MAG34	MAG40	MAG41	MAG42	MAG48	MAG62	MAG66	MAG73	MAG88	MAG97	MAG121	MAG123	MAG144B	MAG145	MAG146	MAG148B	MAG154	MAG157	MAG158B	MAG169	MAG176B	MAG177	MAG182	MAG183	MAG184	MAG191	MAG192D	MAG199	MAG200	MAG201	MAG204	MAG215	MAG220	MAG221	MAG225	MAG230	MAG242	MAG243A	MAG245	MAG248	MAG258	MAG259	MAG278	MAG282	MAG286	MAG313	MAG320	MAG322	MAG325	MAG342	MAG358	MAG373	MAG384	MAG386	MAG406	MAG417	MAG420	MAG513	MAG514	MAG523	MAG530	MAG533	MAG539	MAG540	MAG701B	MAG714A	MAG722B	MAG726B	MAG726A	MAG733A	MAG739A	MAG746B	MAG746A	MAG748A	MAG749C	MAG749B	MAG755A	MAG761A
M_889E_S137	0.000902722	0.000783977	0.000639843	0.000390073	0.00100433	0.00071065	6.33E-05	0.000605691	0.000844298	0.000569643	0.000962521	0.00127301	0.000931748	0.000996688	0.00105723	0.0009152	0.0010513	0.000979908	0.00038698	0.000985324	0.00105023	0.000799741	0.000924296	0.000747311	0.000731017	0.00110488	0.000792043	0.00135488	0.000889892	0.00078122	0.00106389	0.000658008	0.000880311	0.00107971	0.000896228	0.000719215	0.00104161	0.00136782	0.000566552	0.000650956	0.000375663	0.000687939	0.000644745	0.000980335	0.000489816	0.00100257	0.000906691	0.000694609	0.000977393	0.000945179	0.000729792	0.000929055	0.000840847	0.00136349	0.00116882	0.000657504	0.000777763	0.00129211	0.000644958	0.00105186	0.00155243	0.00110966	0.00119826	0.000288089	0.00130392	0.0011015	0.00117209	0.00089301	0.00152312	0.0012257	0.000680183	0.000880414	0.000826808	0.0010008	0.000898219	0.000782876	0.0010609	0.000817373	0.000992765	0.000628174	0.00111167	0.0008053	0.000897376	0.000761121	0.000860555	0.000983822
M_890A_S87	0.00120122	0.000570848	0.00112811	0.00035694	0.00121433	0.00074873	0.000100848	0.000792162	0.000775397	0.000694621	0.00122489	0.00108934	0.00132094	0.00133895	0.00107382	0.00128835	0.000943978	0.00110956	0.000280232	0.001512	0.00125573	0.00118369	0.000906751	0.000465701	0.000870349	0.00135506	0.000974851	0.00146579	0.00110198	0.00110792	0.00107144	0.000795994	0.00118908	0.00125974	0.00136755	0.00102723	0.00103636	0.00117882	0.000900534	0.00082611	0.000378559	0.000517778	0.00100135	0.00083784	0.00058147	0.0012941	0.00112844	0.000770858	0.000981021	0.00113387	0.000925448	0.00108574	0.00134138	0.00143201	0.0013423	0.000542641	0.00088393	0.00151843	0.000878515	0.00131276	0.00125392	0.00160356	0.00149064	0.000264847	0.00131679	0.00149114	0.00136753	0.00124287	0.00122401	0.00149949	0.000939926	0.00109458	0.0010543	0.00111108	0.00102288	0.000937854	0.00101138	0.00104541	0.00096293	0.000977247	0.00114294	0.000957014	0.00120019	0.000891085	0.000945166	0.00111006
M_890C_S122	0.00048804	0.000360477	0.000374552	0.000258723	0.000389157	0.00043181	7.22E-05	0.000384554	0.000495071	0.000355477	0.000438522	0.000695003	0.000599044	0.000491386	0.00055613	0.000970314	0.000542825	0.000564597	0.000208452	0.000661061	0.00061567	0.000517269	0.000447171	0.000315559	0.000426026	0.0005702	0.00046485	0.000641877	0.000449646	0.000498379	0.000545014	0.00038077	0.000556711	0.000673198	0.000435073	0.000514359	0.000635523	0.000622425	0.000487922	0.000440299	0.000224447	0.00034786	0.000417722	0.000473719	0.000269409	0.00075089	0.000608	0.000366631	0.000430099	0.000517871	0.000428483	0.000573589	0.000519904	0.00058911	0.000545854	0.000286816	0.000383798	0.000637265	0.000426985	0.000490698	0.000691975	0.000680884	0.000608695	0.000156144	0.000653664	0.000933258	0.000595488	0.00098356	0.000670423	0.000556858	0.000519285	0.000564642	0.000328604	0.000463687	0.000423256	0.000349389	0.000476102	0.000504429	0.00040413	0.00059522	0.000559496	0.000452878	0.000548426	0.000422793	0.000428324	0.000476059
M_890E_S156	0.00114202	0.000482688	0.000596873	0.000233976	0.00102167	0.000496057	7.23E-05	0.000873467	0.000535343	0.000461413	0.000681578	0.000848885	0.000935913	0.000763552	0.000939046	0.00110266	0.000620524	0.000806011	0.000373272	0.00104862	0.000879726	0.000766703	0.000590003	0.000440163	0.000618502	0.000543208	0.000684827	0.00133878	0.000575319	0.000668092	0.000691429	0.000621611	0.000780858	0.000968471	0.000866312	0.000668233	0.000791734	0.000737156	0.000640233	0.000596434	0.000207335	0.00047113	0.000597623	0.000534021	0.000451333	0.00107295	0.000761644	0.000615484	0.000626293	0.00100065	0.000613491	0.00103479	0.000796875	0.00137953	0.000748572	0.00039784	0.000548836	0.000947695	0.000590784	0.000769432	0.000786651	0.000994334	0.00101326	0.000150269	0.000854564	0.000931531	0.000762521	0.00100815	0.000755689	0.00106297	0.00056621	0.000767679	0.000459589	0.000608198	0.000471902	0.000484513	0.000598563	0.00063056	0.000586753	0.000965282	0.000831067	0.000585582	0.000759511	0.000544009	0.000574298	0.000646418
M_891A_S21	0.000664088	0.000367626	0.000860184	0.000266337	0.00087795	0.000709254	0	0.000431616	0.000417242	0.00067584	0.000649891	0.00103999	0.000905223	0.000833602	0.000617113	0.000708879	0.000668583	0.0011725	0.000323179	0.000837545	0.000868362	0.000812141	0.000578735	0.000441483	0.000741433	0.00095873	0.000664987	0.00102979	0.00106402	0.000566657	0.00052614	0.000497566	0.000666719	0.00110824	0.000789778	0.000634808	0.000604579	0.00110152	0.000726973	0.000457763	0.00022523	0.000423552	0.00074457	0.000943462	0.000418679	0.00108467	0.0010667	0.000766076	0.000838344	0.000744738	0.000870569	0.000927672	0.000737656	0.000995488	0.00089434	0.000522846	0.000603057	0.00109375	0.000582181	0.000838304	0.00062836	0.000974122	0.000748362	0.000156906	0.00125105	0.000917237	0.000934757	0.000686121	0.000634019	0.00154363	0.000962323	0.000691793	0.000503373	0.000709561	0.000624688	0.000634681	0.000751301	0.00108786	0.000691154	0.000755939	0.000865817	0.000729697	0.000792165	0.00059748	0.00103022	0.000745524
M_891B_S6	0.000692117	0.000741461	0.000750691	0.000314657	0.000648076	0.000434638	0.000141974	0.000425172	0.000659799	0.000427765	0.000665029	0.000821972	0.000616856	0.000796393	0.000704795	0.000781036	0.000602097	0.000925862	0.000439548	0.000810666	0.000830566	0.000844897	0.000522707	0.000381949	0.000572065	0.000557001	0.000574438	0.00118401	0.000545156	0.00055236	0.000530749	0.000430575	0.000652374	0.000896907	0.000785661	0.000672559	0.000631852	0.000863243	0.000698727	0.000462208	0.000126662	0.000423765	0.000758951	0.000520537	0.000427988	0.000957342	0.000699671	0.000583724	0.000869055	0.000767626	0.000764874	0.000941376	0.00074127	0.0012081	0.00088175	0.000415824	0.00053335	0.000972012	0.000766423	0.000888817	0.000867897	0.000900616	0.000625539	0.000278365	0.000975916	0.000873348	0.00114127	0.000745704	0.000812786	0.000813817	0.000771314	0.000774113	0.000571627	0.000686144	0.000509305	0.000540896	0.000898541	0.000624822	0.000602627	0.000561077	0.000656321	0.000651562	0.000758774	0.000713441	0.000775185	0.000654187
M_891C_S104	0.000892385	0.000484938	0.000572446	0.000368808	0.000641814	0.000569146	0.000212513	0.00051555	0.000455547	0.000705787	0.00059794	0.00107988	0.000599209	0.00109084	0.000708244	0.00133132	0.000916628	0.00114283	0.000246669	0.00091685	0.000872393	0.000733243	0.000570395	0.000426376	0.00124394	0.000953761	0.000861665	0.00152716	0.000907744	0.000595696	0.000864413	0.00067239	0.000762785	0.00106863	0.000917742	0.000733996	0.00100404	0.000467852	0.000998913	0.000556021	0.000293697	0.000489078	0.000828866	0.000984543	0.000619855	0.00114396	0.00113153	0.000507566	0.000890299	0.000869183	0.000679304	0.00110315	0.000669021	0.00158231	0.00143694	0.000461367	0.000759482	0.00120655	0.000575504	0.00115721	0.00136842	0.00119078	0.000736466	0.00025341	0.000964542	0.00117779	0.00120077	0.00127559	0.00130195	0.00187457	0.000853446	0.00111967	0.000848142	0.000932249	0.000930327	0.000749503	0.00101202	0.000793674	0.000886332	0.000657673	0.000826086	0.000761385	0.000964002	0.000910605	0.000723457	0.000940112
M_891E_S23	0.000892039	0.000475493	0.00089435	0.000213363	0.000663241	0.000640605	0	0.000435601	0.000529112	0.000716319	0.000658929	0.000855305	0.000733757	0.000629984	0.000632605	0.000885423	0.000579947	0.000972982	0.000237183	0.00086576	0.000846776	0.00105699	0.000523515	0.000452879	0.000570557	0.000843441	0.000632768	0.00125105	0.000946729	0.000557179	0.000908056	0.000495003	0.000695312	0.000942965	0.000654105	0.000624868	0.000736326	0.000798298	0.000476749	0.000549057	0.000106807	0.000447383	0.00083012	0.000861007	0.000475092	0.00109852	0.000731944	0.000675912	0.000669633	0.000800481	0.000582972	0.000986184	0.000965764	0.00123283	0.000928239	0.000431329	0.000545586	0.00103354	0.000557625	0.000776288	0.00121795	0.000920799	0.000621972	0.000195768	0.00100996	0.0007259	0.000763457	0.000766578	0.00118791	0.00129712	0.000944751	0.000636735	0.000509163	0.000609412	0.000566497	0.000498432	0.00072884	0.000648876	0.00062416	0.000519082	0.000638201	0.000679787	0.000727266	0.000587907	0.00074945	0.00066806
M_892A_S164	0.000614863	0.000455084	0.000618831	0.000279644	0.00061489	0.000695918	2.36E-05	0.000395575	0.000489792	0.000459867	0.000731233	0.000711361	0.000657973	0.000846235	0.000615028	0.000986506	0.000750746	0.0011968	0.000296515	0.000711466	0.000658008	0.000755551	0.000481654	0.00042217	0.000579279	0.000601926	0.000605684	0.00108415	0.00102674	0.000612801	0.000849965	0.000672311	0.00066566	0.00114891	0.000419342	0.000673335	0.000688004	0.000690061	0.000788939	0.000454189	0.000141084	0.000461528	0.000817214	0.000869482	0.000421544	0.000893717	0.00116659	0.000370636	0.000684839	0.000853622	0.000573799	0.000832101	0.000585124	0.00101201	0.00109836	0.000388613	0.000645474	0.00116922	0.000577592	0.00098978	0.00129707	0.00103278	0.000694384	0.000331477	0.00115086	0.0011696	0.00144423	0.00100737	0.00127044	0.00116664	0.000609983	0.00071065	0.000624281	0.000789962	0.000601995	0.000616927	0.000802286	0.000603809	0.000844054	0.000522532	0.000694689	0.000713083	0.000856209	0.000534457	0.000630243	0.000948375
M_892B_S16	0.000709982	0.000456325	0.00060991	0.000242936	0.000457863	0.000477659	0	0.000369197	0.000463788	0.000376986	0.00056653	0.000758403	0.000524259	0.000648435	0.000529499	0.000784166	0.000706565	0.000899201	0.000229166	0.000610532	0.000610351	0.000707628	0.000479868	0.000330495	0.000550157	0.000589009	0.00054417	0.000961442	0.000547828	0.000447978	0.000612789	0.000374382	0.000519629	0.000880555	0.000665091	0.0005572	0.000558055	0.000779295	0.000674025	0.000522906	0.000129088	0.000366967	0.000628245	0.000640821	0.000383992	0.000824426	0.000605713	0.000341486	0.000812858	0.000651125	0.00060033	0.000582032	0.000640444	0.000965078	0.000827768	0.000431379	0.000494912	0.000870173	0.000618334	0.000744347	0.000849211	0.000890697	0.000552343	0.000173908	0.000948581	0.000836918	0.000971031	0.000847775	0.000837924	0.000853536	0.000429363	0.000577115	0.000747828	0.000688002	0.000544481	0.000535171	0.000790651	0.000607274	0.00056394	0.000424993	0.000542203	0.000535341	0.000744402	0.000451841	0.000521702	0.000645297
