"sample_id"	"genotype_id"	"geno"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"nodule_isolate_diversity"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"850E"	"850"	"dmi3-1"	"Early"	"E"	"A17"	"5/7/21"	3	0	"N"	0.271	0.528	0	0	0	0	NA	NA	0.0903333333333333	0.176	1.94833948339483	0.266333333333333	NA	NA	NA	NA	NA
"850F"	"850"	"dmi3-1"	"Early"	"F"	"A17"	"5/7/21"	3	0	"N"	0.144	0.297	0	0	0	0	NA	NA	0.048	0.099	2.0625	0.147	NA	NA	NA	NA	NA
"847B"	"847"	"ipd3"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.236	0.286	47	1	0.016	0.00035	7900000	3.60454825528443	0.0786666666666667	0.0953333333333333	1.21186440677966	0.174	47	6.89762709129044	5.22552923335472	0.016	0.000340425531914894
"847A"	"847"	"ipd3"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.226	0.241	313	2	0.342	0.001	3.1e+07	3.82736282758296	0.0753333333333333	0.0803333333333333	1.06637168141593	0.155666666666667	156.5	7.19033169817029	4.99581735628782	0.171	0.0010926517571885
"847C"	"847"	"ipd3"	"Early"	"C"	"A17"	"5/8/21"	3	0	"N"	0.332	0.438	202	2	0.126	0.000622	9500000	3.49362934177983	0.110666666666667	0.146	1.31927710843373	0.256666666666667	101	6.67669360962487	4.67237223584222	0.063	0.000623762376237624
"847E"	"847"	"ipd3"	"Early"	"E"	"A17"	"5/14/21"	3	0	"N"	0.213	0.196	234	2	0.242	0.001	4.9e+07	4.203578882505	0.071	0.0653333333333333	0.92018779342723	0.136333333333333	117	7.38916608436453	5.32098022261837	0.121	0.00103418803418803
"845A"	"845"	"hcl"	"Early"	"A"	"A17"	"5/10/21"	2	10	"F"	1.068	0.419	320	2	1.526	0.005	1.26e+08	3.73925646296684	0.534	0.2095	0.392322097378277	0.7435	160	7.79934054945358	5.59522056679766	0.763	0.00476875
"845B"	"845"	"hcl"	"Early"	"B"	"A17"	"5/11/21"	3	2	"F"	1.514	0.849	121	3	2.361	0.02	2.43e+08	4.0944968995683	0.504666666666667	0.283	0.560766182298547	0.787666666666667	40.3333333333333	7.90848501887865	6.30282090328186	0.787	0.0195123966942149
"845C"	"845"	"hcl"	"Early"	"C"	"A17"	"5/12/21"	2	5	"F"	0.614	NA	316	2	2.127	0.007	1.79e+08	4.01540480837467	0.307	NA	NA	NA	158	7.95182303531591	5.75316594836149	1.0635	0.00673101265822785
"845D"	"845"	"hcl"	"Early"	"D"	"A17"	"5/13/21"	2	4	"F"	1.083	0.569	102	2	1.956	0.019	2.22e+08	NA	0.5415	0.2845	0.52539242843952	0.826	51	8.04532297878666	6.33775280268872	0.978	0.0191764705882353
"845E"	"845"	"hcl"	"Early"	"E"	"A17"	"5/14/21"	2	8	"F"	1.689	0.707	220	2	3.465	0.016	NA	4.05129016702214	0.8445	0.3535	0.418590882178804	1.198	110	NA	NA	1.7325	0.01575
"844A"	"844"	"latd"	"Early"	"A"	"A17"	"5/6/21"	1	0	"N"	0.191	0.176	0	0	0	0	NA	NA	0.191	0.176	0.921465968586387	0.367	NA	NA	NA	NA	NA
"844B"	"844"	"latd"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.18	0.119	19	9	0.044	0.002	1240000	3.73396105917781	0.06	0.0396666666666667	0.661111111111111	0.0996666666666667	2.11111111111111	5.13917917572291	4.81466808420941	0.00488888888888889	0.00231578947368421
"844C"	"844"	"latd"	"Early"	"C"	"A17"	"5/7/21"	1	0	"N"	0.139	0.062	0	0	0	0	NA	NA	0.139	0.062	0.446043165467626	0.201	NA	NA	NA	NA	NA
"844D"	"844"	"latd"	"Early"	"D"	"A17"	"5/7/21"	2	0	"N"	0.166	0.122	0	0	0	0	NA	NA	0.083	0.061	0.734939759036145	0.144	NA	NA	NA	NA	NA
"844E"	"844"	"latd"	"Early"	"E"	"A17"	"5/7/21"	2	0	"N"	0.189	0.099	0	0	0	0	NA	NA	0.0945	0.0495	0.523809523809524	0.144	NA	NA	NA	NA	NA
"844F"	"844"	"latd"	"Early"	"F"	"A17"	"5/7/21"	1	0	"N"	0.072	0.052	0	0	0	0	NA	NA	0.072	0.052	0.722222222222222	0.124	NA	NA	NA	NA	NA
"833A"	"833"	"dnf1"	"Late"	"A"	"A17"	"5/10/21"	3	10	"F"	1.703	0.834	NA	3	NA	NA	3.1e+08	4.15243881240024	0.567666666666667	0.278	0.489724016441574	0.845666666666667	NA	8.01424043911461	NA	NA	NA
"833B"	"833"	"dnf1"	"Late"	"B"	"A17"	"5/11/21"	2	8	"F"	1.718	0.922	221	1	NA	NA	1.36e+08	4.24621413453141	0.859	0.461	0.536670547147846	1.32	221	8.13353890837022	5.78914663468511	NA	NA
"833C"	"833"	"dnf1"	"Late"	"C"	"A17"	"5/12/21"	2	10	"F"	2.384	1.252	236	1	1.062	0.005	8.5e+07	4.22675267195252	1.192	0.626	0.525167785234899	1.818	236	7.92941892571429	5.55650692274419	1.062	0.0045
"833D"	"833"	"dnf1"	"Late"	"D"	"A17"	"5/13/21"	1	1	"F"	0.826	0.46	294	1	2.016	0.007	2.24e+08	NA	0.826	0.46	0.556900726392252	1.286	294	8.35024801833416	5.88190068792201	2.016	0.00685714285714286
"833E"	"833"	"dnf1"	"Late"	"E"	"A17"	"5/14/21"	1	2	"F"	0.753	0.334	259	1	1.738	0.007	9.5e+07	4.18301790974545	0.753	0.334	0.443559096945551	1.087	259	7.97772360528885	5.5644238412076	1.738	0.00671042471042471
"834A"	"834"	"dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.177	0.198	354	2	0.307	0.000868	9.2e+07	NA	0.059	0.066	1.11864406779661	0.125	177	7.66275783168157	5.41478456531977	0.1535	0.000867231638418079
"834B"	"834"	"dnf2"	"Late"	"B"	"A17"	"5/7/21"	2	0	"N"	0.212	0.167	573	2	0.784	0.001	1.46e+08	4.01696082751871	0.106	0.0835	0.787735849056604	0.1895	286.5	7.86332286012046	5.40619823381705	0.392	0.00136823734729494
"834C"	"834"	"dnf2"	"Late"	"C"	"A17"	"5/7/21"	2	0	"N"	0.212	0.296	436	1	0.314	0.00072	2.68e+08	3.80973038675515	0.106	0.148	1.39622641509434	0.254	436	8.42813479402879	5.7886483047602	0.314	0.000720183486238532
"834D"	"834"	"dnf2"	"Late"	"D"	"A17"	"5/13/21"	2	0	"N"	0.141	0.179	467	1	1.184	0.003	1.59e+08	4.09696759590958	0.0705	0.0895	1.26950354609929	0.16	467	8.20139712432045	5.53208024375434	1.184	0.00253533190578158
