"Trait"	"Predictor"	"Coef"	"St.error"	"t.value"	"P.value"	"Class"
"nodule_number_per_plant"	"typeEarly"	-131.144179963058	88.1284796730507	-1.48810214869917	0.142049616114513	"None"
"nodule_number_per_plant"	"typeLate"	103.735559239688	76.2869226376701	1.35980788912389	0.179064679563799	"None"
"nodule_number_per_plant"	"typeAON"	298.192313745946	84.5504811284597	3.52679617863907	0.000821161311513101	"Up"
"average_area_per_nodule"	"typeEarly"	0.002552098363962	0.00222288989624939	1.14809931354138	0.256181949526035	"None"
"average_area_per_nodule"	"typeLate"	-0.00250219983168465	0.00193568887783394	-1.29266632687616	0.201840884521214	"None"
"average_area_per_nodule"	"typeAON"	0.00278015889407135	0.00222348368623666	1.25036172348846	0.216764949338274	"None"
"total_nodulated_area_per_plant"	"typeEarly"	-0.425278747645962	0.322821849199173	-1.31737907053365	0.193378535586202	"None"
"total_nodulated_area_per_plant"	"typeLate"	-0.32865677354324	0.28065172982407	-1.17104845122196	0.246817472399099	"None"
"total_nodulated_area_per_plant"	"typeAON"	1.73303530135502	0.322877019253104	5.36747801179521	1.79821817618791e-06	"Up"
"total_biomass_per_plant"	"typeEarly"	-0.848441716344134	0.210665762085155	-4.02743050387646	0.000131128474372231	"Down"
"total_biomass_per_plant"	"typeLate"	-0.724704938081279	0.201771495299256	-3.59171119293356	0.000576346792689404	"Down"
"total_biomass_per_plant"	"typeAON"	-0.323848467044014	0.224565859117618	-1.44210909136636	0.153326799074489	"None"
"root_to_shoot_ratio"	"typeEarly"	0.873946288373752	0.23102476388613	3.78291172631395	0.000304641136841617	"Up"
"root_to_shoot_ratio"	"typeLate"	0.526156938860396	0.221270944073102	2.37788536160702	0.0198929980704765	"Up"
"root_to_shoot_ratio"	"typeAON"	-0.171133668252941	0.246268183619522	-0.694907745441198	0.489204801880662	"None"
"cfu_per_nodule_LOG10"	"typeEarly"	-0.302419337717464	0.22001991214902	-1.37450894677494	0.174858532777332	"None"
"cfu_per_nodule_LOG10"	"typeLate"	-0.0864175174203159	0.186978908812539	-0.462177889309197	0.645776892687981	"None"
"cfu_per_nodule_LOG10"	"typeAON"	0.195623492499742	0.212010877376786	0.922704980613233	0.360191171165812	"None"
"cfu_per_plant_LOG10"	"typeEarly"	-0.815293829352055	0.26663744544989	-3.05768692006643	0.00339361787252148	"Down"
"cfu_per_plant_LOG10"	"typeLate"	0.0800774038638259	0.225956819451379	0.354392507640412	0.724352503544381	"None"
"cfu_per_plant_LOG10"	"typeAON"	0.541900090153269	0.256933316155107	2.10910791275559	0.0393400727337472	"Up"
