sample_id.x	genotype_id	rep.x	date_nod_picked.x	X	batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity	sample_id.y	rep.y	cfu_ml	num_alive_apr15	date_on_plant_tag	nodule_harvester	nodule_weight_g	date_biomass_harvested	num_plants	percent_herbivory	flowering	above_biomass_g	below_biomass_g	ratio	num_plants_picked_nods	date_nod_picked.y	nod_distribution	image_above	image_below	envelope_notes	name	background	type	order
833E	833	E	5/14/2021	Y	11	1	NA	833_E_0150_cropped.tif	259	1.738	0.007	5.491	0.778	0.933	833B	B	1.36E+08	1	05/11/21	MAGP	0.014	05/11/21	2	8	F	1.718	0.922	1.863340564	1	05/11/21	even	8987	9564		dnf1	A17	Late	7
833E	833	E	5/14/2021	Y	11	1	NA	833_E_0150_cropped.tif	259	1.738	0.007	5.491	0.778	0.933	833C	C	8.50E+07	3	05/12/21	JH	0.033	05/12/21	2	10	F	2.384	1.252	1.904153355	1	05/12/21	NA	9484	9544		dnf1	A17	Late	7
833E	833	E	5/14/2021	Y	11	1	NA	833_E_0150_cropped.tif	259	1.738	0.007	5.491	0.778	0.933	833D	D	2.24E+08	2	5/13/21	MAGP	NA	5/13/21	1	1	F	0.826	0.46	1.795652174	1	5/13/21	even	9503	9548		dnf1	A17	Late	7
833E	833	E	5/14/2021	Y	11	1	NA	833_E_0150_cropped.tif	259	1.738	0.007	5.491	0.778	0.933	833E	E	9.50E+07	3	5/14/21	RBB	NA	5/14/21	1	2	F	0.753	0.334	2.254491018	1	5/14/21	bottom	9512	9556		dnf1	A17	Late	7
834A	834	A	05/06/21	y	1	1	NA	834_A_0008_cropped.tif	354	0.307	0.000868	0.41	0.907	0.931	834A	A	9.20E+07	3	05/06/21	"LTB,RBB"	0.018	05/06/21	3	0	N	0.177	0.198	0.893939394	2	05/06/21	bottom	8981	9527		dnf2	A17	Late	9
834A	834	A	05/06/21	y	1	1	NA	834_A_0008_cropped.tif	354	0.307	0.000868	0.41	0.907	0.931	834B	B	1.46E+08	2	05/07/21	"LTB, RBB"	0.043	05/07/21	2	0	N	0.212	0.167	1.269461078	2	05/07/21	bottom	8994	9540		dnf2	A17	Late	9
834A	834	A	05/06/21	y	1	1	NA	834_A_0008_cropped.tif	354	0.307	0.000868	0.41	0.907	0.931	834C	C	2.68E+08	2	05/07/21	"LTB, RBB"	0.045	05/07/21	2	0	N	0.212	0.296	0.716216216	1	05/07/21	bottom	8997	9542		dnf2	A17	Late	9
834A	834	A	05/06/21	y	1	1	NA	834_A_0008_cropped.tif	354	0.307	0.000868	0.41	0.907	0.931	834D	D	1.59E+08	2	5/14/21	JH	NA	5/13/21	2	0	N	0.141	0.179	0.787709497	1	5/14/21	even	9506	9567		dnf2	A17	Late	9
834A	834	A	05/06/21	y	1	1	NA	834_A_0008_cropped.tif	354	0.307	0.000868	0.41	0.907	0.931	834E	E	2.28E+08	3	5/14/21	LCL	NA	5/14/21	2	0	N	0.254	0.329	0.772036474	1	5/14/21	even	9510	9558		dnf2	A17	Late	9
834B	834	B	05/07/21	y	2	1	NA	834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937	834A	A	9.20E+07	3	05/06/21	"LTB,RBB"	0.018	05/06/21	3	0	N	0.177	0.198	0.893939394	2	05/06/21	bottom	8981	9527		dnf2	A17	Late	9
834B	834	B	05/07/21	y	2	1	NA	834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937	834B	B	1.46E+08	2	05/07/21	"LTB, RBB"	0.043	05/07/21	2	0	N	0.212	0.167	1.269461078	2	05/07/21	bottom	8994	9540		dnf2	A17	Late	9
834B	834	B	05/07/21	y	2	1	NA	834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937	834C	C	2.68E+08	2	05/07/21	"LTB, RBB"	0.045	05/07/21	2	0	N	0.212	0.296	0.716216216	1	05/07/21	bottom	8997	9542		dnf2	A17	Late	9
834B	834	B	05/07/21	y	2	1	NA	834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937	834D	D	1.59E+08	2	5/14/21	JH	NA	5/13/21	2	0	N	0.141	0.179	0.787709497	1	5/14/21	even	9506	9567		dnf2	A17	Late	9
834B	834	B	05/07/21	y	2	1	NA	834_B_0015_cropped.tif	573	0.784	0.001	1.698	0.893	0.937	834E	E	2.28E+08	3	5/14/21	LCL	NA	5/14/21	2	0	N	0.254	0.329	0.772036474	1	5/14/21	even	9510	9558		dnf2	A17	Late	9
834C	834	C	05/07/21	y	2	NA	NA	834_C_0022_cropped.tif	436	0.314	0.00072	0.419	0.909	0.924	834A	A	9.20E+07	3	05/06/21	"LTB,RBB"	0.018	05/06/21	3	0	N	0.177	0.198	0.893939394	2	05/06/21	bottom	8981	9527		dnf2	A17	Late	9
834C	834	C	05/07/21	y	2	NA	NA	834_C_0022_cropped.tif	436	0.314	0.00072	0.419	0.909	0.924	834B	B	1.46E+08	2	05/07/21	"LTB, RBB"	0.043	05/07/21	2	0	N	0.212	0.167	1.269461078	2	05/07/21	bottom	8994	9540		dnf2	A17	Late	9
834C	834	C	05/07/21	y	2	NA	NA	834_C_0022_cropped.tif	436	0.314	0.00072	0.419	0.909	0.924	834C	C	2.68E+08	2	05/07/21	"LTB, RBB"	0.045	05/07/21	2	0	N	0.212	0.296	0.716216216	1	05/07/21	bottom	8997	9542		dnf2	A17	Late	9
834C	834	C	05/07/21	y	2	NA	NA	834_C_0022_cropped.tif	436	0.314	0.00072	0.419	0.909	0.924	834D	D	1.59E+08	2	5/14/21	JH	NA	5/13/21	2	0	N	0.141	0.179	0.787709497	1	5/14/21	even	9506	9567		dnf2	A17	Late	9
834C	834	C	05/07/21	y	2	NA	NA	834_C_0022_cropped.tif	436	0.314	0.00072	0.419	0.909	0.924	834E	E	2.28E+08	3	5/14/21	LCL	NA	5/14/21	2	0	N	0.254	0.329	0.772036474	1	5/14/21	even	9510	9558		dnf2	A17	Late	9
834D	834	D	5/14/2021	Y	10	1	NA	834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939	834A	A	9.20E+07	3	05/06/21	"LTB,RBB"	0.018	05/06/21	3	0	N	0.177	0.198	0.893939394	2	05/06/21	bottom	8981	9527		dnf2	A17	Late	9
834D	834	D	5/14/2021	Y	10	1	NA	834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939	834B	B	1.46E+08	2	05/07/21	"LTB, RBB"	0.043	05/07/21	2	0	N	0.212	0.167	1.269461078	2	05/07/21	bottom	8994	9540		dnf2	A17	Late	9
834D	834	D	5/14/2021	Y	10	1	NA	834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939	834C	C	2.68E+08	2	05/07/21	"LTB, RBB"	0.045	05/07/21	2	0	N	0.212	0.296	0.716216216	1	05/07/21	bottom	8997	9542		dnf2	A17	Late	9
834D	834	D	5/14/2021	Y	10	1	NA	834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939	834D	D	1.59E+08	2	5/14/21	JH	NA	5/13/21	2	0	N	0.141	0.179	0.787709497	1	5/14/21	even	9506	9567		dnf2	A17	Late	9
834D	834	D	5/14/2021	Y	10	1	NA	834_D_0141_cropped.tif	467	1.184	0.003	1.797	0.87	0.939	834E	E	2.28E+08	3	5/14/21	LCL	NA	5/14/21	2	0	N	0.254	0.329	0.772036474	1	5/14/21	even	9510	9558		dnf2	A17	Late	9
834E	834	E	5/14/2021	Y	11	NA	NA	834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931	834A	A	9.20E+07	3	05/06/21	"LTB,RBB"	0.018	05/06/21	3	0	N	0.177	0.198	0.893939394	2	05/06/21	bottom	8981	9527		dnf2	A17	Late	9
834E	834	E	5/14/2021	Y	11	NA	NA	834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931	834B	B	1.46E+08	2	05/07/21	"LTB, RBB"	0.043	05/07/21	2	0	N	0.212	0.167	1.269461078	2	05/07/21	bottom	8994	9540		dnf2	A17	Late	9
834E	834	E	5/14/2021	Y	11	NA	NA	834_E_0152_cropped.tif	357	0.595	0.002	0.715	0.881	0.931	834C	C	2.68E+08	2	05/07/21	"LTB, RBB"	0.045	05/07/21	2	0	N	0.212	0.296	0.716216216	1	05/07/21	bottom	8997	9542		dnf2	A17	Late	9
