diff	lwr	upr	p adj	comparison	trait	p_adj	Significant
-0.356933974791364	-0.807125617082264	0.0932576674995367	0.271641813257474	A17-sunn4	nodule_number_per_plant	0.271641813257474	
-0.245510083989269	-0.695701726280169	0.204681558301632	0.831598581802977	A17-sunn1	nodule_number_per_plant	0.831598581802977	
-0.598415231882636	-1.11825176360978	-0.0785787001554941	0.010856932956459	A17-rdn1	nodule_number_per_plant	0.010856932956459	*
-0.146489702645404	-0.596681344936304	0.303701939645497	0.99798569706315	A17-dnf5/dnf2	nodule_number_per_plant	0.99798569706315	
-0.199340373278353	-0.676840717924459	0.278159971367754	0.976723190625056	A17-dnf1/dnf2	nodule_number_per_plant	0.976723190625056	
0.0276426626346598	-0.422548979656241	0.47783430492556	1	A17-dnf7	nodule_number_per_plant	1	
-0.383147788085035	-0.833339430375935	0.0670438542058658	0.178891426097927	A17-dnf6	nodule_number_per_plant	0.178891426097927	
-0.362377473395903	-0.957925037306639	0.233170090514832	0.696981217817435	A17-dnf4	nodule_number_per_plant	0.696981217817435	
-0.273178765419362	-0.723370407710263	0.177012876871538	0.700925528456636	A17-dnf3	nodule_number_per_plant	0.700925528456636	
-0.212165236859911	-0.662356879150812	0.238026405430989	0.937372799350802	A17-dnf2	nodule_number_per_plant	0.937372799350802	
-0.098589184242075	-0.576089528888181	0.378911160404031	0.999991772988065	A17-dnf1	nodule_number_per_plant	0.999991772988065	
-0.168522408817612	-0.688358940544754	0.351314122909531	0.998065223299721	A17-nad1	nodule_number_per_plant	0.998065223299721	
1.97663736305303	1.19688256546232	2.75639216064374	3.52642581802343e-10	A17-latd	nodule_number_per_plant	3.52642581802343e-10	***
0.316368796441373	-0.161131548204734	0.793869141087479	0.564189844549524	A17-ipd3	nodule_number_per_plant	0.564189844549524	
0.349667845253389	-0.100523797037512	0.799859487544289	0.302155350121155	A17-hcl	nodule_number_per_plant	0.302155350121155	
-0.50057529490847	-1.13315880583027	0.132008216013333	0.268847104157883	A17-sunn4	total_nodulated_area_per_plant	0.268847104157883	
-0.382608209295576	-0.979013662948377	0.213797244357226	0.606096975648562	A17-sunn1	total_nodulated_area_per_plant	0.606096975648562	
-0.563715867090672	-1.59672041472849	0.469288680547146	0.822452783216308	A17-rdn1	total_nodulated_area_per_plant	0.822452783216308	
0.472915156912238	-0.123490296740564	1.06932061056504	0.265942644877261	A17-dnf5/dnf2	total_nodulated_area_per_plant	0.265942644877261	
0.625286749071615	-0.00729676185018813	1.25787025999342	0.0555871274339514	A17-dnf1/dnf2	total_nodulated_area_per_plant	0.0555871274339514	
0.716254355701901	0.119848902049099	1.3126598093547	0.00664262292507334	A17-dnf7	total_nodulated_area_per_plant	0.00664262292507334	**
-0.217525101366955	-0.813930555019757	0.378880352285846	0.99265032305466	A17-dnf6	total_nodulated_area_per_plant	0.99265032305466	
-0.0699192611245592	-1.10292380876238	0.963085286513258	1	A17-dnf4	total_nodulated_area_per_plant	1	
-0.0963202628605394	-0.728903773782342	0.536263248061263	0.999999840292538	A17-dnf3	total_nodulated_area_per_plant	0.999999840292538	
0.342667799252038	-0.253737654400764	0.939073252904839	0.763835862067505	A17-dnf2	total_nodulated_area_per_plant	0.763835862067505	
-0.222714261707834	-0.911383960133045	0.465955436717378	0.997859550334379	A17-dnf1	total_nodulated_area_per_plant	0.997859550334379	
0.468420966974664	-0.220248731450548	1.15709066539988	0.510389825076723	A17-nad1	total_nodulated_area_per_plant	0.510389825076723	
2.27820864432607	1.24520409668825	3.31121319196388	4.5278809701621e-08	A17-latd	total_nodulated_area_per_plant	4.5278809701621e-08	***
1.13768709079977	0.505103579877963	1.77027060172157	6.16813944220862e-06	A17-ipd3	total_nodulated_area_per_plant	6.16813944220862e-06	***
-0.0393425820996075	-0.635748035752409	0.557062871553194	1	A17-hcl	total_nodulated_area_per_plant	1	
-0.141062446773724	-0.705200874941579	0.42307598139413	0.999889428722926	A17-sunn4	average_area_per_nodule	0.999889428722926	
-0.137083863921878	-0.668958674702424	0.394790946858669	0.99984018679276	A17-sunn1	average_area_per_nodule	0.99984018679276	
0.0932008320138729	-0.828033363524116	1.01443502755186	0.999999999526582	A17-rdn1	average_area_per_nodule	0.999999999526582	
0.619030173981376	0.0871553632008297	1.15090498476192	0.00984675403028779	A17-dnf5/dnf2	average_area_per_nodule	0.00984675403028779	**
0.824039129089776	0.259900700921922	1.38817755725763	0.000353917400988557	A17-dnf1/dnf2	average_area_per_nodule	0.000353917400988557	***
0.688178755479153	0.156303944698607	1.2200535662597	0.00239972958115986	A17-dnf7	average_area_per_nodule	0.00239972958115986	**
0.165577726261811	-0.366297084518736	0.697452537042357	0.998583608875338	A17-dnf6	average_area_per_nodule	0.998583608875338	
0.120266091471651	-0.800968104066338	1.04150028700964	0.999999981608055	A17-dnf4	average_area_per_nodule	0.999999981608055	
0.148076461189255	-0.416061966978599	0.712214889357109	0.999800927634259	A17-dnf3	average_area_per_nodule	0.999800927634259	
0.554559302825545	0.0226844920449991	1.08643411360609	0.0334379212359479	A17-dnf2	average_area_per_nodule	0.0334379212359479	*
-0.105655694663972	-0.719811825022631	0.508500435694688	0.999999143283678	A17-dnf1	average_area_per_nodule	0.999999143283678	
0.636572085139277	0.0224159547806174	1.25072821549794	0.0354708789757829	A17-nad1	average_area_per_nodule	0.0354708789757829	*
0.301567821653896	-0.619666373884093	1.22280201719188	0.997563415538648	A17-latd	average_area_per_nodule	0.997563415538648	
0.820727102682434	0.25658867451458	1.38486553085029	0.000379116570929261	A17-ipd3	average_area_per_nodule	0.000379116570929261	***
