"strains"	"latd"	"ipd3"	"nad1"	"dnf2"	"dnf3"	"dnf6"	"dnf7"	"sunn4"	"sunn1"	"rdn1"	"hcl"	"dnf1"	"dnf4"	"dnf5dnf2"	"dnf1dnf2"
"MAG5"	2.35144692174174	-0.0449032307868467	1.29153881942082	1.44445282432376	0.806796095849576	0.831081304222615	0.619137192652089	0.033496330822434	0.748743157765122	-0.0743036933721815	0.607397958057182	0.780383537068524	0.951003795028774	0.318454697590747	1.15274071299627
"MAG10"	2.13494146151198	0.726504345069157	0.99471482137027	1.22458434872802	1.75307222974292	1.39785612281247	0.0543919342315053	0.838895103944907	1.21347408249006	0.630531867242957	-0.326795463409199	1.29295398472698	0.894106943270157	0.0723431900157743	1.37663455372823
"MAG16"	-0.358032077058179	-0.273707228407814	-0.60996224294512	-0.752151642854543	-0.323200593574907	0.0850318401048156	-0.719198823272762	-0.184121472771258	-0.197104335899496	0.361197311032544	-0.659290994372826	-0.138242017830946	0.697858702587155	-0.691753155608848	-0.561681177703227
"MAG18"	-0.221244234213672	0.319975949681091	0.485328857722733	1.09073344243972	1.44811821359022	0.434351678274894	0.917788335386691	1.35322846526878	0.853745889285855	0.748323279159848	0.702697618616274	0.672415276450987	1.20699038120537	1.31310048119689	0.980008816864541
"MAG21"	1.73364105933584	0.012596000167421	0.395640251147411	0.225913131472299	0.249999233475565	0.189388211503811	-0.274746073140507	0.268704087580936	0.457318129988782	0.199119292583278	-0.208030137291891	0.200258341542794	0.771481614628802	-0.350842157807756	0.290860133257022
"MAG24"	-0.343428991434301	-0.203935993515018	0.140151720908707	-0.089225985434968	0.950429823319278	0.139074524547066	-0.0073803334453999	0.442159008434576	0.230145329725972	-0.00696761846062732	-0.199032727674675	0.252239040630572	0.0357289449715819	0.00859009560706769	-0.195875576427915
"MAG27"	4.43504827904191	5.3476877797574	3.81316346818029	5.87769489925525	0	2.94583230438514	5.31354352898885	4.06475857328065	5.03636502047697	5.51034012577451	0	6.03752599849823	3.66625303435084	3.73086664022143	5.83777937904968
"MAG31"	-0.167992818717046	0.503502176737517	0.965118135628808	0.801225975087504	-0.411740097288525	0.380343274129515	0.54995657324512	0.335761206981534	-0.20171426285043	-0.13768389048372	1.10249250249302	0.094796661414783	-0.123003640926081	0.0856575304189895	0.824299854003123
"MAG34"	-1.9135844843689	-0.587983844159354	-1.47213540555824	-0.884280225473011	-0.444941983308948	-0.765958588049278	-0.565352802535126	0.0986559032442735	-0.253220287881462	-0.0870530411459958	-0.591824008851757	-0.904036137208746	-0.643654408623456	-0.870185029906857	-1.09069071027805
"MAG40"	-2.24762507971634	-1.41175551476844	-1.05135338897723	-1.46062289996308	-1.40504169670158	-0.575125998738735	-1.29353603671977	-0.423083656346104	-0.0742702770763667	0.0508594752426419	-1.93397092545423	-1.07386155610704	-1.29767270731322	-0.71517850954583	-1.10296598033284
"MAG41"	-1.41599575925708	-1.07277713281997	0.182468013598566	-0.294670968764961	-1.11177381472769	-0.849620502024616	-0.451986358075861	0.309196073690492	0.112257448424189	-0.68076491584847	-0.375006960642602	0.405657432988874	-0.570802352605349	-0.319134089849985	-0.898187738683266
"MAG42"	-1.62691949462842	-0.540826250775261	-1.17860318286714	-0.741006338740711	-0.00603452575896149	-0.731676684252965	-0.355508151924018	0.147655966782441	0.00769795282458491	0.0458683970142742	-0.336067610764996	-0.630636202740072	-0.413656679771013	-0.605695622386914	-0.793542540654295
"MAG48"	-2.75416483108345	-2.1218943831908	-1.71441988373967	-1.69427103448528	-1.59742164997758	-1.5335131418517	-2.02595318879437	-0.526541083254566	-0.989117388068452	-1.25248178558152	-1.51099391643131	-0.535956438990397	-1.4722886976415	-1.75645566633079	-1.58417058102471
"MAG62"	-1.43273378829984	-0.805428613135829	-0.683084252450577	-0.650190862124002	-0.633769236781928	0.0974054666975927	-0.728123338043627	-0.878926468571183	-0.565938339535777	-0.110580748757161	-0.296411463548265	-0.464914100632934	-0.067226942135291	-0.665286297158402	-1.04538197762973
"MAG66"	0.0330416853947	-0.181539132096566	-0.112837181547372	-0.183011100639399	0.251909388870404	0.229461671892297	-0.822707708282203	0.510238861992506	0.477909883842914	0.529181713095571	-0.429540410075225	0.33971742811932	-0.957657162751516	-0.690567003515547	0.576690281213639
"MAG73"	-1.65832572350298	-0.900632946576619	-0.602388397575138	-0.492651365205691	-0.621277518896912	0.0176409798290096	-1.3500284759825	-0.10900398767654	0.243860547168486	0.0670575095298347	-1.29810359487674	-0.309295159762709	-1.24748351650125	-0.972081516347915	-1.11046728066827
"MAG88"	-2.02521796217694	-0.758548233346255	-1.3563620836517	-0.98003564196773	0.127014135305563	-0.866446781745234	-0.553052167068238	0.0757860994808839	0.0487726841492239	-0.179252932371858	-0.524341945854151	-0.720596250665162	-0.72760126579996	-0.708678124437776	-0.870710788999578
"MAG97"	-1.23897763286113	-0.462894244960856	-0.0295414977535314	-0.482739819272467	-0.368238544991797	-0.22362858308521	0.00456739898948988	0.257231293757402	0.295850367714351	-0.343058420798444	-0.65707336107547	-0.225314193018053	0.799387852769256	0.147460660302584	0.210732459284589
"MAG121"	3.21546387485132	1.50023131039699	2.16959394703079	3.12886393904296	3.66194082925265	2.76887620996907	1.8830696633419	2.67157977663797	2.21538281028664	2.06076426398652	1.26172024037122	3.64930092844502	0.173235493376708	1.71959687302737	3.0121048725798
"MAG123"	0.111234433538758	-0.804191163190659	-0.153578148588725	-0.800246488433522	-0.566270698788069	-0.179908062654357	-0.752926974421979	-0.825933048961499	-0.277790873560505	-0.528743679637429	-1.53921813043784	-0.75703554009221	-0.881578829423993	-0.414933888270794	-1.05852731157156
"MAG144B"	-0.602900853133768	-0.895881620320299	-0.295243718281281	-0.144460578508031	0.0195254313696033	-0.0327730139199772	-0.677534546805103	0.2131812371452	0.140563076379388	-0.230298439299883	-0.124616068149778	-0.265234786650729	-0.0866522106701642	-0.6841668422996	-0.28221656932233
"MAG145"	0.264123656749488	-0.492185492750832	-0.36338449449501	-0.45686060940109	-0.363234563445792	0.390829711666553	-0.686428981651431	-0.151484769678482	0.190015582006782	0.36651692049846	-0.569676447963197	0.0152561232510693	0.0318403047471709	-0.418894305031446	-0.36628993430637
"MAG146"	0.993302199223195	-0.418252930449915	0.466947211981764	-0.285979539380168	0.208466890963079	-0.173404222517654	-0.176577715393611	1.3950339621046	-0.1644134673204	0.0987348210600761	-0.626775620973975	-0.15957900008945	0.154087393588759	0.153269086104071	0.243914078878106
"MAG148B"	-0.388846418568743	-0.548656314806925	0.0395308521775075	-0.383077054794833	-0.155627191824603	0.0666020879708145	-0.457993743320909	-1.39394949914948	0.280471325631006	-0.639098348730936	0.902967563910164	-0.648168113182636	-1.39867360244234	-0.0182403745812214	-0.0839079295488374
"MAG154"	-0.126626661402698	-0.0946857111021648	0.139382551721863	0.0887936345428884	0.556553782510268	0.307002669389535	-0.506354800310793	0.361004614800687	0.155627959880099	0.0528689813048677	-0.229525018899318	-0.236662941017427	0.126383521881955	-0.102135025483986	0.333381932625491
"MAG157"	-0.212938281543804	0.754095165599799	0.206111664187062	0.428353154763966	-0.0464043928346068	0.194778144117648	0.166586358899136	-0.615577093017357	-0.124304418399735	-0.125749212174577	0.775338329385806	-0.345079642177949	0.313696588577071	0.74787858152244	-0.116579871121218
"MAG158B"	0.625722921204908	0.31433830664549	0.899661966054724	0.0189678435513889	0.293378085983116	0.432044188931721	0.0162288648356597	0.0493526254670136	0.613751482809743	0.420685861625342	-0.00456260399691311	0.753045256427245	0.68204521218607	0.0633226414842223	0.467817331858049
"MAG169"	1.54750687866876	0.0834465397566719	0.0818225073294911	0.699103439088019	0.323251881531686	0.850910760048278	0.00135478704626513	-0.225869478047136	0.532498719119547	0.162753355010425	-0.637530660957169	0.630540904086184	0.986477942262479	0.138382199027241	0.434247569780822
"MAG176B"	-1.32172488477599	0.117370525814725	-0.230045050671457	-0.168174075586173	-0.0578659028967359	0.265379056075171	0.149431273707314	-0.332059821263596	-0.301002963641017	-0.211433024705511	1.07880928993023	0.436905485519729	0.484123793370245	-0.14114528574355	-0.356037491285992
"MAG177"	-0.326124197052081	-1.36887069004131	-0.629647908084173	-0.0166578880095963	-1.27763358727101	-0.456381371699846	-0.245884960378884	0.153240934994554	0.0225924295206142	-0.630148050237499	0.383640076534226	-0.149207564138994	-0.956072933157914	-0.200025682597865	-0.528650931783959
"MAG182"	-0.795769963022945	-0.561183672365691	-0.18689047125791	-0.365096969982547	0.297030290702849	-0.237228991298755	-0.271999049884773	0.00420215976047578	-0.0194669904953702	-0.375985420353607	-0.564577155520249	0.170192481922294	-0.537049066117853	-0.299712253905251	-0.545045824149285
"MAG183"	-0.927072307817356	-0.892470230516235	-0.363050548995844	-0.703966628630174	-0.538789982724416	0.393555816292761	-0.619055853283791	-1.00385624125796	0.119969040726553	-0.211352837082761	-0.450044497579562	0.123864730412372	-0.0210416366260928	-0.433139999160717	-1.10764206092996
"MAG184"	-0.998262135872464	-1.03803780310755	-0.547742770346475	-0.837882254353037	-0.809491857242188	-0.0188996398829984	-1.02884806755538	-0.24364525599171	-0.368212430030627	-0.840712329778505	-1.12513733858565	0.132930977632289	-0.711137876605547	-0.760730214411878	-0.760639713689858
"MAG191"	-0.856845885098103	-0.514931448286027	0.444936480947501	-0.46559346904508	-0.880824362898055	-0.849205704747302	-0.365719347152636	-0.213757380202711	0.148167351973829	-0.170690090098727	0.310560179762904	0.107616996422833	0.269460057440799	0.484974359001203	0.237422984938702
"MAG192D"	0.239254856771738	0.0261647433754	0.709127175379986	0.0929962361972687	0.270680694058611	0.404785042815575	-0.169284612702587	0.410169522743444	0.337127862811582	0.798599243840569	-0.0773540718436108	0.0606629022732801	-0.127994824779128	-0.220819321023511	0.238568938122728
"MAG199"	-1.43265096122438	-0.60775156338178	-0.204428568740042	-0.216389356302363	-0.615566268602195	0.0162262068942714	-0.587547223283229	0.0805391825491007	0.00184300922433854	-0.425141078123574	-0.346939094210665	-0.504166660559437	-0.207061131866517	0.0503021147993966	-0.520549648611296
"MAG200"	-1.01958249708844	-0.595146063815298	-0.202852188141326	-0.2215181493515	0.48615506898103	-0.182114147585607	-0.415966506177408	0.0591930298795971	0.0995147224036455	-0.370650599587171	-0.651621557205786	0.152038208408152	-0.688780259358688	-0.23186346836966	-0.451145593048109
"MAG201"	-1.52568364196774	-0.924400744365426	-1.28789256033513	-0.873245094353917	-0.113976446599334	-0.921529289880042	-0.357728058973508	0.104489273566619	-0.199624491802946	-0.0557985575437524	-0.709581721915089	-0.776838193314767	-0.415035681097639	-0.719098412457798	-0.93688220041768
"MAG204"	-0.952951243188848	-0.880681284906951	-0.539991526059901	-0.713723123940885	-0.639946129383761	0.0675507377127142	-1.00400918433607	-0.0595642338596903	-0.18690240800463	-0.283012943759085	-0.747899701595877	-0.515457633049534	-0.0925642550730639	-0.758352708822911	-0.755719437541188
"MAG215"	-1.13586815179148	-1.00695072913985	0.172311201421367	-0.429815428574226	0.0963648145721898	0.608222743802868	-0.280425248503921	1.7488511520464	0.687983511995362	0.51382881527541	-1.55792911849319	0.404638422345011	0.162254898822346	0.399136086918623	0.209683036645773
"MAG220"	-0.441818907476806	-0.279039270799883	1.32699400163981	0.501370152959645	0.805574086993172	-0.456624074439672	0.726771222216696	1.08665386445542	0.114301929283752	0.270844373997491	0.570435125504596	0.72531368965575	-0.357515692300359	0.620115828410794	1.16478315160925
"MAG221"	2.94238982299527	0.303417741758524	0.119635987270284	0.215996441593955	0.226418699982847	0.781437549054296	0.33151075363876	-1.00846998371995	-0.0698811416178555	0.00558335108138386	-0.588549655119276	0.662465953457166	0.164508259586968	-0.582699794680263	0.183554436365975
"MAG225"	-0.484272302764576	-0.492041048532886	-0.110036127709223	-0.36322370895868	-0.154585929338261	-0.00126573637155225	-0.464922850193985	-0.175033407074555	0.09380569285379	-0.0515678814045646	-0.411792945595308	-0.0583664993297006	-0.181631837093835	-0.391601030171152	-0.450885041985245
"MAG230"	-0.485992849451639	-0.421167109138917	-0.281241571741556	0.0606720195991342	0.215759946416401	-0.220968657496059	0.110542254015209	0.336574355691986	-0.188533342289654	-0.305686800578163	-0.37253555654628	-0.167524799610249	-0.27460898851481	-0.159069330463133	0.062437262928132
"MAG242"	-0.828654462049234	-0.712920468514716	0.123446848057574	0.16075392387114	0.241162519330726	-0.20728142523037	-0.0489954235182337	0.311639057143921	0.746816025389355	0.696002262758469	-1.03495198906265	0.231019048207815	-0.381629748995122	-0.32961675808116	0.45019799031313
"MAG243A"	-0.549117545620086	-0.324099913585239	-0.271544882697817	-0.24006210568099	-0.154994079949692	-0.0553803691866265	-0.518047180955207	-0.086211667233319	-0.0787187670187341	-0.0206788129305173	-0.396323687651361	0.157502466462458	0.0427733308689751	-0.463285962437339	-0.302369702372194
