comparison	diff	lwr	upr	p adj	trait	p_adj	Significant
A17-dnf3	-0.418823294	-0.91861767	0.080971081	0.214513448	root_to_shoot_ratio	0.214513448	
A17-dnf2	-0.739121631	-1.238916006	-0.239327255	0.000137382	root_to_shoot_ratio	0.000137382	***
A17-dnf1	-0.076048971	-0.575843347	0.423745404	0.999999994	root_to_shoot_ratio	0.999999994	
A17-nad1	-0.733392993	-1.263504981	-0.203281004	0.000504408	root_to_shoot_ratio	0.000504408	***
A17-latd	-0.233909829	-0.712426512	0.244606855	0.94853212	root_to_shoot_ratio	0.94853212	
A17-ipd3	-0.695069784	-1.225181773	-0.164957796	0.001308597	root_to_shoot_ratio	0.001308597	**
A17-hcl	-0.039912434	-0.570024423	0.490199554	1	root_to_shoot_ratio	1	
A17-dmi3-1	-1.507516645	-1.986033328	-1.028999961	0	root_to_shoot_ratio	0	***
A17-dmi2-3	-1.880959852	-2.746629104	-1.0152906	4.92E-09	root_to_shoot_ratio	4.92E-09	***
A17-dmi1-2	-1.619564771	-2.119359147	-1.119770395	0	root_to_shoot_ratio	0	***
A17-sunn4	0.943533333	0.382639029	1.504427638	7.59E-06	total_biomass_per_plant	7.59E-06	***
A17-sunn1	-0.097033333	-0.657927638	0.463860971	0.999999954	total_biomass_per_plant	0.999999954	
A17-rdn1	0.046	-0.601664955	0.693664955	1	total_biomass_per_plant	1	
A17-dnf5/dnf2	1.017833333	0.456939029	1.578727638	1.08E-06	total_biomass_per_plant	1.08E-06	***
A17-dnf1/dnf2	1.0223	0.461405696	1.583194304	9.61E-07	total_biomass_per_plant	9.61E-07	***
A17-dnf7	1.017666667	0.456772362	1.578560971	1.09E-06	total_biomass_per_plant	1.09E-06	***
A17-dnf6	0.347466667	-0.213427638	0.908360971	0.726698832	total_biomass_per_plant	0.726698832	
A17-dnf4	0.787722222	0.140057267	1.435387178	0.004345462	total_biomass_per_plant	0.004345462	**
A17-dnf3	0.461866667	-0.099027638	1.022760971	0.239540737	total_biomass_per_plant	0.239540737	
A17-dnf2	1.010166667	0.449272362	1.571060971	1.32E-06	total_biomass_per_plant	1.32E-06	***
A17-dnf1	-0.057166667	-0.618060971	0.503727638	1	total_biomass_per_plant	1	
A17-nad1	1.072666667	0.477748417	1.667584916	1.29E-06	total_biomass_per_plant	1.29E-06	***
A17-latd	1.034222222	0.497206811	1.571237634	2.06E-07	total_biomass_per_plant	2.06E-07	***
A17-ipd3	1.0335	0.438581751	1.628418249	3.40E-06	total_biomass_per_plant	3.40E-06	***
A17-hcl	0.325375	-0.269543249	0.920293249	0.875168935	total_biomass_per_plant	0.875168935	
A17-dmi3-1	0.995611111	0.458595699	1.532626523	6.03E-07	total_biomass_per_plant	6.03E-07	***
A17-dmi2-3	0.846166667	-0.125330766	1.8176641	0.164754727	total_biomass_per_plant	0.164754727	
A17-dmi1-2	0.846766667	0.285872362	1.407660971	8.94E-05	total_biomass_per_plant	8.94E-05	***
